,0
0,2681602051
1,2677768201
2,2681831438
3,2681438222
4,2681602064
5,2680651793
6,2638970905
7,2682191902
8,2670493738
9,2680258615
10,2677112892
11,2682060863
12,2682093645
13,2682159183
14,2681536591
15,2682191954
16,2680914003
17,2682224724
18,2637758553
19,2681045082
20,2682159198
21,2679799903
22,2682224740
23,2680094821
24,2680750195
25,2681372789
26,2681831542
27,2681438337
28,2681602180
29,2681405574
30,2682224779
31,2682159262
32,2681667743
33,2680848545
34,2681831586
35,2638872738
36,2681831592
37,2679898281
38,2682257582
39,2682290351
40,2682192050
41,2670887094
42,2658992311
43,2681766077
44,2682060992
45,2679537860
46,2682159301
47,2658271433
48,2681667788
49,2682257614
50,2682093783
51,2682159327
52,2681176288
53,2682061026
54,2682159332
55,2680946920
56,2638512361
57,2682028264
58,2681831660
59,2681536757
60,2682257654
61,2681471233
62,2682290435
63,2678292739
64,2682257670
65,2681504007
66,2681569547
67,2681995531
68,2682224911
69,2681995545
70,2682224927
71,2681241890
72,2681536803
73,2680717605
74,2681372965
75,2669576490
76,2673180972
77,2681143598
78,2681766193
79,2682159423
80,2680815937
81,2682257735
82,2681602376
83,2682192210
84,2682192212
85,2682257752
86,2682159450
87,2681307485
88,2681373022
89,2679210336
90,2681667937
91,2681831778
92,2682192229
93,2679079284
94,2679734645
95,2681569656
96,2680684923
97,2682159491
98,2674393483
99,2681536911
100,2587820432
101,2681176465
102,2682061210
103,2681536924
104,2680914333
105,2680586654
106,2681668001
107,2682159522
108,2682061221
109,2682257832
110,2681373102
111,2682159536
112,2682192305
113,2682094005
114,2682257855
115,2680848834
116,2679603651
117,2682290626
118,2678751685
119,2680914377
120,2681078218
121,2681536973
122,2681536976
123,2679931344
124,2682061266
125,2681209307
126,2682159588
127,2679636455
128,2669838828
129,2681504240
130,2680881655
131,2682094077
132,2669380093
133,2682225152
134,2679898625
135,2641658371
136,2682028547
137,2682094088
138,2681569803
139,2681045517
140,2678391315
141,2670690836
142,2681766421
143,2681831961
144,2681373214
145,2681569826
146,2679931427
147,2682028585
148,2682192428
149,2681307695
150,2682094132
151,2681406005
152,2682061366
153,2680881727
154,2681078336
155,2680488517
156,2682225221
157,2682192455
158,2681242184
159,2682192459
160,2680848971
161,2682225233
162,2680422994
163,2682225241
164,2681373273
165,2682061415
166,2677178983
167,2682159720
168,2681012842
169,2681143911
170,2682290796
171,2680816237
172,2682290798
173,2682159726
174,2681471610
175,2681307775
176,2678620802
177,2682225284
178,2681143941
179,2679341703
180,2681668235
181,2680259212
182,2680849042
183,2681242259
184,2681995924
185,2674852500
186,2682290838
187,2680488594
188,2681012897
189,2682094244
190,2681307813
191,2681373349
192,2676720295
193,2681504424
194,2682061481
195,2682159786
196,2681078443
197,2679407276
198,2678817452
199,2682094261
200,2681766584
201,2682159802
202,2638414524
203,2682290879
204,2680947391
205,2681406149
206,2679571145
207,2680652492
208,2682290894
209,2679014094
210,2681570001
211,2682094294
212,2677932758
213,2682290904
214,2680521435
215,2681438943
216,2681307877
217,2681078506
218,2680586992
219,2672394993
220,2681307888
221,2682028787
222,2682159862
223,2680455926
224,2682225398
225,2682225404
226,2682192639
227,2681504515
228,2681471749
229,2680849164
230,2681406222
231,2682094352
232,2682225425
233,2681602845
234,2681340702
235,2681045791
236,2681045790
237,2682225441
238,2678883107
239,2680914725
240,2681996069
241,2681209647
242,2681832246
243,2682061637
244,2682192714
245,2681832271
246,2682159959
247,2681602903
248,2681537369
249,2674852698
250,2680423257
251,2681373537
252,2682159975
253,2681996139
254,2681406335
255,2681406337
256,2682192772
257,2681504645
258,2682028934
259,2681176970
260,2682258321
261,2680947609
262,2682192794
263,2672165797
264,2681766822
265,2681602985
266,2682225582
267,2682160047
268,2681602990
269,2675835833
270,2682160058
271,2682028985
272,2666562490
273,2680947648
274,2682258369
275,2681570242
276,2676032448
277,2682094529
278,2681996227
279,2682094530
280,2679276484
281,2682160072
282,2681766862
283,2681603025
284,2681996251
285,2678227942
286,2682160105
287,2672722925
288,2681766895
289,2682258416
290,2680718325
291,2682291193
292,2681668607
293,2681373697
294,2682192898
295,2681603089
296,2681013266
297,2629534739
298,2681504788
299,2681668634
300,2678522906
301,2682225707
302,2680980524
303,2682225715
304,2679047222
305,2665481270
306,2681766977
307,2681439297
308,2681832519
309,2681603144
310,2681472074
311,2678326347
312,2681013325
313,2682061902
314,2681341007
315,2681570385
316,2682029149
317,2680751204
318,2681996395
319,2680620149
320,2671051895
321,2681046138
322,2681308284
323,2681439367
324,2681767052
325,2648605837
326,2680423569
327,2681570451
328,2682291350
329,2672788632
330,2682160287
331,2682094758
332,2681767079
333,2678031529
334,2681570473
335,2681537707
336,2668364977
337,2680816820
338,2682193079
339,2681603263
340,2682258623
341,2662958275
342,2677408968
343,2682258634
344,2670953677
345,2667381968
346,2673673425
347,2682029274
348,2681177310
349,2681177319
350,2681210090
351,2681537780
352,2682258677
353,2680980727
354,2681505019
355,2681767164
356,2678195468
357,2681570575
358,2681177366
359,2537063712
360,2682029344
361,2682094885
362,2681996586
363,2682094891
364,2675017009
365,2670560561
366,2680587575
367,2681046330
368,2676852028
369,2680915262
370,2681603394
371,2680096067
372,2679473485
373,2681210189
374,2681537873
375,2681341266
376,2681570647
377,2676229466
378,2681668958
379,2681832800
380,2681406816
381,2681472373
382,2671707525
383,2681505158
384,2680685959
385,2681177480
386,2680554889
387,2649949585
388,2680554908
389,2682160546
390,2681832875
391,2681341359
392,2682160570
393,2682226107
394,2682160578
395,2682160588
396,2681505228
397,2681275859
398,2682193363
399,2677016022
400,2681603548
401,2681538017
402,2681046499
403,2677310952
404,2681996791
405,2682226173
406,2677835268
407,2680882696
408,2677540361
409,2680915471
410,2682095121
411,2681439769
412,2682193434
413,2682226207
414,2681669151
415,2681538086
416,2681472550
417,2681275952
418,2680849969
419,2679801393
420,2680948283
421,2673083965
422,2682062409
423,2680817231
424,2681767504
425,2682291793
426,2680555089
427,2682029652
428,2679408213
429,2679473752
430,2668889689
431,2682029656
432,2665612889
433,2682095198
434,2606335583
435,2682226271
436,2682291807
437,2681669221
438,2681669224
439,2681833069
440,2681505390
441,2681177710
442,2681439857
443,2681472626
444,2682226291
445,2681833077
446,2682160761
447,2682193531
448,2682160767
449,2665055876
450,2682226309
451,2680981128
452,2638415500
453,2681439885
454,2681472661
455,2681570966
456,2674362007
457,2682226330
458,2682291867
459,2681276059
460,2682291869
461,2681538209
