,0
0,231126019
1,34391991
2,31663176
3,203480396
4,47976584
5,231030180
6,205239774
7,359718
8,40489779
9,230098728
10,238002321
11,42019982
12,45563696
13,46479042
14,220627504
15,202212072
16,50485580
17,232403122
18,35767540
19,234217152
20,46179681
21,217704990
22,38062906
23,212373084
24,200863849
25,49650515
26,232673998
27,206169352
28,38820793
29,47054055
30,40440621
31,209369567
32,210426551
33,228687366
34,51390786
35,207395551
36,37119761
37,213998330
38,42267557
39,241918634
40,240237048
41,37397535
42,376295
43,204139241
44,38820974
45,36196049
46,31692838
47,33301835
48,201377723
49,201787335
50,217884051
51,227266451
52,231797617
53,38281726
54,209015539
55,36015951
56,35857759
57,240571920
58,213256010
59,203364036
60,45835250
61,216221154
62,201099134
63,209254627
64,236897540
65,50789976
66,38194009
67,47844788
68,47398278
69,214164586
70,39671774
71,41995983
72,201507152
73,49676274
74,39373641
75,40237831
76,34797903
77,200956718
78,500849
79,235991816
80,45997638
81,200636018
82,209374630
83,230017922
84,204499177
85,206245704
86,234713870
87,229306468
88,39805437
89,41392980
90,203846193
91,208726959
92,35969684
93,33465183
94,31863172
95,209008738
96,34151808
97,217288728
98,506560
99,227161589
100,202556844
101,212029162
102,240976088
103,227636692
104,40945979
105,210126784
106,212591778
107,35806632
108,49935588
109,244094016
110,33995567
111,213327040
112,231909321
113,201943928
114,229614962
115,36600099
116,244011909
117,243995844
118,49537990
119,32226921
120,219304935
121,43525244
122,215915157
123,204785179
124,31611134
125,43095568
126,45373588
127,222393892
128,237155313
129,32853516
130,210378915
131,50674029
132,50474337
133,235011639
134,211900889
135,41103516
136,228502620
137,201750326
138,229869739
139,34071866
140,213328884
141,200247283
142,204961589
143,201567295
144,201871028
145,48703649
146,227089506
147,235988518
148,205451950
149,38910208
150,38298112
151,41425454
152,35584389
153,207321338
154,44299822
155,40309042
156,228005967
157,227252872
158,233681217
159,227000834
160,45977634
161,226232500
162,32912042
163,200701287
164,33149744
165,43890136
166,201489335
167,35141858
168,226416522
169,229580231
170,221400266
171,207735988
172,205266671
173,212435443
174,50970334
175,240368321
176,219817807
177,213907216
178,210599834
179,41535130
180,213450853
181,203328985
182,40376877
183,33937041
184,234958887
185,46335335
186,239485007
187,38955244
188,202404738
189,32789551
190,43945264
191,239419147
192,40794131
193,48964326
194,43025706
195,216704536
196,39878111
197,241196705
198,216753843
199,210632561
200,234044426
201,227584662
202,36618718
203,207202155
204,200593173
205,39383089
206,212654617
207,228754768
208,208253213
209,50953414
210,211313531
211,210680255
212,202846486
213,216402403
214,236497365
215,215303952
216,35383582
217,240100947
218,226899315
219,47181846
220,209865338
221,49727100
222,44728147
223,228431282
224,44528345
225,221819691
226,218692382
227,34689849
228,204680743
229,235184635
230,47773306
231,42812760
232,210755535
233,234829721
234,46176623
235,322307
236,48930968
237,237591923
238,47655379
239,237657156
240,226270176
241,48576361
242,44342320
243,217083464
244,43191975
245,217370875
246,38790843
247,231721598
248,51399484
249,50395511
250,237688390
251,234828757
252,242959253
253,208290235
254,220799728
255,218957691
256,49610229
257,48564731
258,220198140
259,218147235
260,202394186
261,238613929
262,207754536
263,45093017
264,41897969
265,41134039
266,42035217
267,44800130
268,237407123
269,200211293
270,36178259
271,223155917
272,36044886
273,205505011
274,38321677
275,49830469
276,34512168
277,223003324
278,226600535
279,33573107
280,230904783
281,200184972
282,204223771
283,47811653
284,226925062
285,202904820
286,238182426
287,51379990
288,40559128
289,205137327
290,40180410
291,241630523
292,211690375
293,32831042
294,46542402
295,445287
296,216110315
297,32223861
298,204012773
299,206714635
300,37528628
301,242858920
302,358843
303,228191374
304,47008037
305,32668723
306,36596823
307,36076981
308,33838125
309,226493786
310,237417809
311,34140398
312,512603
313,40319388
314,213685709
315,218826406
316,212982374
317,46797768
318,50416890
319,47881225
320,211139443
321,48221958
322,48966068
