,0
0,2691825673
1,2691825674
2,2684485643
3,2683830290
4,2663120919
5,2691563547
6,2690646044
7,2693529629
8,2694316061
9,2690383902
10,2691825696
11,2689073186
12,2691301419
13,2691432494
14,2689859636
15,2691170358
16,2691301431
17,2691432504
18,2691563581
19,2693398593
20,2691170373
21,2694316101
22,2691301447
23,2676097101
24,2690121815
25,2689204324
26,2690121829
27,2677276777
28,2690515050
29,2694578284
30,2691694701
31,2690646134
32,2690121847
33,2691170439
34,2693398669
35,2693398670
36,2684092559
37,2691956880
38,2686058643
39,2690646163
40,2691956886
41,2690121890
42,2673082533
43,2689073325
44,2693267638
45,2693660854
46,2687107272
47,2691301578
48,2691563724
49,2691301582
50,2671378642
51,2690515154
52,2672820435
53,2691170522
54,2691694811
55,2689204461
56,2689728753
57,2693529843
58,2691563763
59,2691956984
60,2691170554
61,2691825916
62,2637299967
63,2690646273
64,2688811269
65,2691301639
66,2688942348
67,2691170591
68,2691170592
69,2691563814
70,2690384173
71,2691170613
72,2691825977
73,2682913082
74,2690253118
75,2691957060
76,2690646345
77,2691432778
78,2690646346
79,2692088142
80,2693398867
81,2690646358
82,2692612438
83,2690384221
84,2691957087
85,2685403488
86,2688418148
87,2691563876
88,2673869157
89,2693398899
90,2690646396
91,2686058892
92,2691957134
93,2683175318
94,2662990232
95,2691563930
96,2689335707
97,2694709662
98,2687107498
99,2690253231
100,2694054319
101,2652242353
102,2690646451
103,2691170745
104,2691695035
105,2691563963
106,2690646459
107,2690384336
108,2691695059
109,2690122198
110,2688680433
111,2690122230
112,2688942595
113,2689991173
114,2690384390
115,2689860105
116,2691957257
117,2687369756
118,2681995815
119,2691170856
120,2693268009
121,2692612650
122,2691433005
123,2691433006
124,2691957296
125,2690384444
126,2691826249
127,2691695183
128,2690646608
129,2691433046
130,2690646617
131,2690384475
132,2691564128
133,2688811617
134,2691433067
135,2691564139
136,2689598066
137,2689991289
138,2688418429
139,2691170945
140,2690253442
141,2691826308
142,2689729160
143,2691826318
144,2691170960
145,2669544095
146,2690384549
147,2691957413
148,2689860263
149,2687238829
150,2691170992
151,2693530290
152,2694709939
153,2691564212
154,2691826356
155,2691826370
156,2691957444
157,2689598149
158,2694316742
159,2686714568
160,2687763149
161,2689336016
162,2688287454
163,2691564255
164,2689336032
165,2691433185
166,2646213350
167,2691826411
168,2673738475
169,2691957487
170,2691695344
171,2693530354
172,2691302131
173,2691695347
174,2691826420
175,2692874999
176,2691826429
177,2682258180
178,2693530372
179,2690384649
180,2691695370
181,2691171088
182,2675311380
183,2691957526
184,2690384669
185,2693137188
186,2694316841
187,2690515754
188,2689991476
189,2691564342
190,2693530425
191,2692875067
192,2690253628
193,2691171138
194,2690253642
195,2694710090
196,2679243596
197,2694185807
198,2693661521
199,2688287571
200,2694185811
201,2688025429
202,2691171160
203,2691826528
204,2691433316
205,2691171174
206,2690646889
207,2694447977
208,2689729388
209,2694316915
210,2694316924
211,2680947581
212,2690253702
213,2691695501
214,2692613014
215,2694448024
216,2686714777
217,2689074075
218,2692744100
219,2689598375
220,2691826603
221,2691433395
222,2690253753
223,2690122688
224,2691433410
225,2691564489
226,2691695565
227,2690253779
228,2689598421
229,2691695574
230,2692613086
231,2691433442
232,2691171309
233,2691171313
234,2689336307
235,2691171317
236,2690515957
237,2685666299
238,2678326270
239,2691695619
240,2691433476
241,2661811207
242,2691957769
243,2655126538
244,2691564559
245,2694317075
246,2691564568
247,2688418841
248,2688680990
249,2689336355
250,2691695656
251,2691433519
252,2690253872
253,2693137461
254,2691695676
255,2691564615
256,2691695688
257,2690253901
258,2691433558
259,2688681066
260,2681996395
