,0
0,234356736
1,233308162
2,214433794
3,38010884
4,43778053
5,210501642
6,203423754
7,39059468
8,231211023
9,35913746
10,38010899
11,51118102
12,34603032
13,231211032
14,36175899
15,524317
16,39059486
17,1048607
18,214695969
19,31719457
20,202637348
21,44564517
22,524325
23,235405351
24,201326631
25,230424613
26,42467373
27,234881073
28,208928818
29,234094641
30,32768056
31,204210235
32,229638203
33,230424637
34,39059516
35,50855998
36,33292353
37,204210242
38,201850945
39,262211
40,234618950
41,201588808
42,214433865
43,44564553
44,37224523
45,43778124
46,41156684
47,222298190
48,200540239
49,233832528
50,204210250
51,214696018
52,41418832
53,41418838
54,239337561
55,35913818
56,33030233
57,33816668
58,38010979
59,235143267
60,201326693
61,200540262
62,43516004
63,40370281
64,35127406
65,227803246
66,215220336
67,33030257
68,202375282
69,49807475
70,201064564
71,239861874
72,51118199
73,31981688
74,48496760
75,201588857
76,210763898
77,44302459
78,202113149
79,202637437
80,221511808
81,238026882
82,213123202
83,32505988
84,47972485
85,39059589
86,238813316
87,214696076
88,36700302
89,221511823
90,200540304
91,36962450
92,42991763
93,214433939
94,208142487
95,236978328
96,243531929
97,43516059
98,37224604
99,222036128
100,232784036
101,201851046
102,45088936
103,206045353
104,50069674
105,222036139
106,208928942
107,44040367
108,42467502
109,39583921
110,43253938
111,215482547
112,50856115
113,207093940
114,34341042
115,233046201
116,214958266
117,229376189
118,228589758
119,35913919
120,227541186
121,240648390
122,36438216
123,42467528
124,39321803
125,243531980
126,37224653
127,41418958
128,216531155
129,218104020
130,35389653
131,211288276
132,215482582
133,46661843
134,213647575
135,524511
136,239599842
137,33030376
138,50331880
139,221249772
140,200016109
141,34078956
142,206045427
143,207356150
144,35913976
145,42467576
146,38535418
147,223084797
148,48496895
149,211812608
150,47972609
151,34603266
152,42991874
153,209191172
154,36438271
155,226230534
156,39059720
157,36700424
158,200540429
159,203161870
160,35127566
161,51380496
162,226230545
163,38797584
164,41419028
165,232522005
166,38011158
167,239599893
168,229114138
169,214696221
170,230424863
171,49807649
172,231211297
173,210239779
174,42991909
175,231735591
176,226754861
177,202637616
178,208142641
179,48234800
180,232522035
181,38797619
182,47186228
183,40108342
184,216793400
185,200540472
186,34341178
187,202637629
188,236192065
189,203948354
190,34603332
191,31981894
192,233832775
193,228852041
194,207094091
195,50856267
196,49807694
197,47448401
198,231735633
199,234094929
200,51118420
201,51380565
202,33816919
203,207356247
204,31719770
205,215744859
206,49021278
207,236192095
208,203161950
209,230424933
210,208929130
211,212861292
212,37224815
213,230424944
214,43778417
215,34341232
216,202113396
217,35651961
218,209191292
219,37224828
220,241172862
221,231997823
222,262526
223,32244099
224,212861315
225,226754951
226,34341258
227,229114254
228,43778448
229,34079121
230,200016274
231,222036371
232,234094996
233,219414933
234,48497046
235,210502039
236,47448474
237,202899868
238,216531356
239,230424990
240,524706
241,47710627
242,212337060
243,213123494
244,50332070
245,240124330
246,39059884
247,201589166
248,239862192
249,231473585
250,233832882
251,231997878
252,201589177
253,230687164
254,201327037
255,35914174
256,216269249
257,51380673
258,221774275
259,208404930
260,37749193
261,241697229
262,231997901
263,201589199
264,230162896
265,212599249
266,206832083
267,215744979
268,37749206
269,233308630
270,220725719
271,47186393
272,44302806
273,50332123
274,47710688
275,34341344
276,34603489
277,206307811
278,240648675
279,204210665
280,206832105
281,240910828
282,41419244
283,213123566
284,34341356
285,50856436
286,45613558
287,211812856
288,32768505
289,235930107
290,205521405
291,32244221
292,33554947
293,223871492
294,41419268
295,34341380
296,49283593
297,41157129
298,208929291
299,36962828
300,42729997
301,41419281
302,221774355
303,201327125
304,201064981
305,201851414
306,229114392
307,207356441
308,213647898
309,33030685
310,202900000
311,208929312
312,209977890
313,208142885
314,228065830
315,36176423
316,51380776
317,50070054
318,226492970
319,217580075
320,32768555
321,42730029
322,243270189
323,43254316
324,223871535
325,37749301
326,213910070
327,218890807
328,210764344
329,213647928
330,41157177
331,43254333
332,219677250
333,35914306
334,200278597
335,524870
336,47710791
337,33555019
338,205783627
339,38011471
340,211026512
341,35652177
342,29885008
343,200540753
344,44302933
345,200802902
346,239862359
347,37749335
348,37749333
349,217842263
350,524891
351,40370781
352,43778654
353,203424358
354,35390057
355,39060074
356,215220844
357,219939436
358,31720045
359,223871598
360,240648818
361,47972979
362,46137974
363,218628726
364,39584376
365,232522360
366,210764406
367,32244347
368,35390076
369,43254398
370,35127935
371,31982209
372,213123714
373,227541638
374,207094406
375,213648010
376,210502283
377,37487243
378,219415180
379,202375822
380,231211664
381,208667282
382,34865811
383,212599446
384,34603670
385,31720087
386,35652246
387,36700825
388,33817243
389,32768668
390,37749405
391,218628764
392,32768671
393,46138016
394,201851551
395,203686562
396,238027427
397,233046691
398,38535845
399,47973023
400,47448745
401,262826
402,40108715
403,524972
404,51380909
405,37487279
406,210502321
407,229376690
408,226755251
409,230163124
410,45089459
411,214172342
412,45351603
413,202375863
414,201851578
415,216531642
416,32244410
417,41681594
418,213910206
419,32244421
420,262855
421,227017415
422,50070217
423,230163143
424,212075211
425,213910216
426,38798027
427,210502350
428,219415246
429,229114576
430,231736019
431,34865875
432,43254483
433,209715927
434,45613785
435,39322329
436,525021
437,34079454
